"id","pub_date","bandname_text"
443,"2019-01-29 04:21:47+00","London Frog"
444,"2019-01-29 04:21:58+00","Froghat"
448,"2019-01-29 04:24:29+00","Sister Pray"
449,"2019-01-29 04:28:46+00","Coffee Anon"
458,"2019-01-29 04:42:26+00","Sixth Scents"
459,"2019-01-29 04:43:54+00","Apocalips"
470,"2019-01-29 05:17:16+00","Sure Leaf"
471,"2019-01-29 05:22:13+00","Dragon’s Layer"
489,"2019-01-30 02:38:37+00","Garden Steak"
495,"2019-02-03 17:03:01+00","Sassy Assassins"
154,"2019-01-28 04:20:00+00","Despondent Ferret"
155,"2019-01-28 04:20:00+00","Didgeridew"
156,"2019-01-28 04:20:00+00","Didgeridude"
157,"2019-01-28 04:20:00+00","Dingo Jiggler"
158,"2019-01-28 04:20:00+00","Dingo Jiggler"
159,"2019-01-28 04:20:00+00","DJ Bellycrumbs"
160,"2019-01-28 04:20:00+00","DJ Coffeecake"
161,"2019-01-28 04:20:00+00","Double Ginzo"
162,"2019-01-28 04:20:00+00","Double Smote"
163,"2019-01-28 04:20:00+00","Douche Bouche"
164,"2019-01-28 04:20:00+00","Douche Bouche"
165,"2019-01-28 04:20:00+00","Dr Agua"
166,"2019-01-28 04:20:00+00","Dress Lance"
167,"2019-01-28 04:20:00+00","Dropbox Murphy's"
168,"2019-01-28 04:20:00+00","E-Males"
169,"2019-01-28 04:20:00+00","Earthcrumb"
170,"2019-01-28 04:20:00+00","Easy Mummy"
171,"2019-01-28 04:20:00+00","Eclypso"
172,"2019-01-28 04:20:00+00","Eddie Mummy"
173,"2019-01-28 04:20:00+00","Elder Squirrels"
174,"2019-01-28 04:20:00+00","Electric Bobcat"
175,"2019-01-28 04:20:00+00","Electrosnob"
176,"2019-01-28 04:20:00+00","Enemy Anemone"
177,"2019-01-28 04:20:00+00","Exploding Snare"
178,"2019-01-28 04:20:00+00","Exploratory Bite"
179,"2019-01-28 04:20:00+00","Family Mohawk"
180,"2019-01-28 04:20:00+00","Fancy Strike"
181,"2019-01-28 04:20:00+00","Fancy Sunday Loincloth"
182,"2019-01-28 04:20:00+00","Fauna Sauna"
183,"2019-01-28 04:20:00+00","Fetish Bomb"
184,"2019-01-28 04:20:00+00","Fevertweet"
185,"2019-01-28 04:20:00+00","Firstwurst"
186,"2019-01-28 04:20:00+00","Flan Forever"
187,"2019-01-28 04:20:00+00","Flannibal"
188,"2019-01-28 04:20:00+00","Flaunted Loom"
189,"2019-01-28 04:20:00+00","Flour Mason"
190,"2019-01-28 04:20:00+00","Flowing Lox"
191,"2019-01-28 04:20:00+00","Football Jellyfish"
192,"2019-01-28 04:20:00+00","Fraffle"
193,"2019-01-28 04:20:00+00","Freak Andy and the Vans"
194,"2019-01-28 04:20:00+00","French Noodle"
195,"2019-01-28 04:20:00+00","French Prints"
196,"2019-01-28 04:20:00+00","Fringe Benedicts"
197,"2019-01-28 04:20:00+00","Frozen Jawn"
198,"2019-01-28 04:20:00+00","Fungible Masses"
199,"2019-01-28 04:20:00+00","Future Gas"
200,"2019-01-28 04:20:00+00","Galactic Backup"
201,"2019-01-28 04:20:00+00","Galactic Bulge"
202,"2019-01-28 04:20:00+00","Gateway Cookie"
203,"2019-01-28 04:20:00+00","Geyser Roll"
204,"2019-01-28 04:20:00+00","Ginger Picker"
205,"2019-01-28 04:20:00+00","Gloomypants"
206,"2019-01-28 04:20:00+00","Godfrog"
207,"2019-01-28 04:20:00+00","Golden Horatio"
208,"2019-01-28 04:20:00+00","Goo Gulls"
209,"2019-01-28 04:20:00+00","Gorilla Salad"
210,"2019-01-28 04:20:00+00","Grape Jamb"
211,"2019-01-28 04:20:00+00","Gunsnot"
212,"2019-01-28 04:20:00+00","Gymbanana"
213,"2019-01-28 04:20:00+00","Haggle Rock"
